"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","6CC8C631A1D0B361","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","12B2E044746550B6","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","648039431E626C04","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","59B5D8AA3FEF844D","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","8A3EB865C4FC8969","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","C85BA311ACF98ADA","CA1A4D10C13B1A94","4D5910C196CF5CFE","0BADBADBADBADBAD"
"Spider","Spider","235C2D41612777D8","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","56E5B784C227F8D3","A7035A782982E0B2","C6537085027E1D4E","61D6A7680E23D7E2"
"MinionA","The Damned","F951BE526E1DC4A9","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","2FB143727B367314","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
